Latitude,Longitude,Bottom_Depth,Sample_Depth,Phosphate,Silicate,Nitrite,Nitrite_and_Nitrate,Cruise,Location,Type,Date,Time,Comments
-17.47503,-149.83707,17,1,0.14,0.92,0.04,0.29,LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,8/10/2005,8:00,na
-17.47785,-149.84213,2,1,0.2,0.29,0.11,0.7,LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,8/10/2005,9:00,na
-17.48488,-149.83365,14,1,0.15,0.65,0.08,0.79,LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,8/10/2005,9:30,na
-17.47785,-149.84213,2,1,0.09,0.44,0.08,0.32,LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,12/4/2005,8:36,na
-17.48488,-149.83365,14,1,0.09,0.43,0.11,0.46,LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,12/4/2005,9:10,na
-17.47503,-149.83707,17,1,0.1,0.56,0.07,0.17,LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,12/5/2005,11:00,na
-17.47785,-149.84213,2,1,0.16,0.37,0.03,0.46,LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,3/26/2006,8:30,na
-17.48488,-149.83365,14,1,0.14,0.31,0.03,0.53,LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,3/26/2006,9:07,na
-17.47503,-149.83707,17,1,0.1,0.37,0.05,0.21,LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,3/27/2006,9:55,na
-17.47785,-149.84213,2,1,0.09,0.81,0.07,0.53,LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,6/17/2006,8:15,na
-17.48488,-149.83365,14,1,0.11,0.82,0.06,0.56,LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,6/17/2006,8:48,na
-17.47503,-149.83707,17,1,0.06,0.61,0.05,0.24,LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,6/20/2006,9:48,na
-17.47785,-149.84213,2,1,0.15,0.18,0.07,0.47,LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,8/27/2006,11:05,na
-17.48488,-149.83365,14,1,0.17,0.17,0.09,0.52,LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,8/27/2006,8:15,na
-17.47503,-149.83707,17,1,0.14,0.21,0.25,0.61,LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,8/29/2006,10:18,na
-17.47503,-149.83707,17,1,0.17,1.11,0.02,0.04,LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,12/11/2006,10:05,na
-17.47785,-149.84213,2,1,0.17,0.85,0.04,0.25,LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,12/13/2006,10:58,na
-17.48488,-149.83365,14,1,0.19,0.73,0.06,0.42,LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,12/13/2006,8:45,na
-17.47503,-149.83707,17,1,0.19,3.19,0.08,1.05,LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,3/24/2007,10:25,na
-17.47785,-149.84213,2,1,0.19,2.81,0.07,1.29,LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,3/25/2007,11:00,na
-17.48488,-149.83365,14,1,0.22,2.66,0.1,4.35,LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,3/25/2007,8:08,na
-17.47503,-149.83707,2,0.5,0.19,0.59,0.1,0.34,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,8/12/2007,15:45,sunny; no rain in previous 3 days
-17.47503,-149.83707,17,0.5,0.17,0.48,0.09,0.27,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,8/13/2007,8:30,sunny; strong wind from NE; no rain last 4 days
-17.48488,-149.83365,14,0.5,0.16,0.28,0.09,0.26,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,8/14/2007,10:00,strong NE wind
-17.47503,-149.83707,17,1,0.14,0.65,0.07,0.21,LTER bi-annual,LTER 1 Forereef Water Column,Niskin bottle,8/18/2007,8:45,na
-17.47785,-149.84213,2,1,0.15,1.39,0.06,0.29,LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,8/20/2007,10:35,na
-17.48488,-149.83365,14,1,0.14,0.73,0.07,0.26,LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,8/20/2007,8:10,na
-17.47785,-149.84213,2,0.5,0.16,0.3,0.04,0.21,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,8/28/2007,9:30,clear and sunny; no rain for days
-17.48488,-149.83365,14,0.5,0.16,0.3,0.07,0.27,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,8/28/2007,9:40,clear and sunny; no rain for days
-17.47503,-149.83707,17,0.5,0.12,2.19,0,0.25,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,11/30/2007,12:00,rain previous night
-17.47785,-149.84213,2,0.5,0.12,1.67,0.14,0.4,Additional nutrients,LTER 1 Backreef Water Column,Falcon tube,12/7/2007,11:30,overcast; lots of rain last week; strong S wind today
-17.48488,-149.83365,14,0.5,0.14,1.62,0.32,0.52,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,12/7/2007,11:45,overcast; lots of rain last week; strong S wind today
-17.47503,-149.83707,17,0.5,0.13,1.28,0.13,0.36,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,12/9/2007,10:50,light rain in morning; sunny previous day
-17.48488,-149.83365,14,0.5,0.13,1.09,0.13,0.43,Additional nutrients,LTER 1 Fringing Reef Water Column,Falcon tube,1/8/2008,8:45,sunny; evening rain 2 days before
-17.47503,-149.83707,17,0.5,0.13,2.37,0.13,0.37,Additional nutrients,LTER 1 Forereef Water Column,Falcon tube,1/8/2008,11:45,sunny; evening rain 2 days before
-17.47785,-149.84213,2,1,0.14,1.45,0.13,0.41,LTER bi-annual,LTER 1 Backreef Water Column,Niskin bottle,1/12/2008,11:15,na
-17.48488,-149.83365,14,1,0.14,1.73,0.32,0.74,LTER bi-annual,LTER 1 Fringing Reef Water Column,Niskin bottle,1/12/2008,8:07,na
